Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
D1,16/03/18,Freiburg,Stuttgart,,,,,,,2.62,3.2,2.79,2.7,3,2.85,2.6,3.2,2.8,2.62,3,2.8,2.71,3.16,2.94,2.62,3.1,2.8,2.7,3.2,2.88,38,2.79,2.67,3.22,3.07,3.05,2.89,34,2.52,2.4,1.63,1.56,16,0,1.9,1.85,2.09,2.01
D1,17/03/18,Augsburg,Werder Bremen,,,,,,,2.5,3.1,3.1,2.35,3.3,3.1,2.4,3.3,2.95,2.35,3.25,3,2.42,3.41,3.14,2.45,3.25,2.9,2.4,3.3,3.1,41,2.51,2.4,3.46,3.3,3.15,3.04,39,2.04,1.99,1.9,1.82,20,-0.25,2.08,2.04,1.86,1.82
D1,17/03/18,Ein Frankfurt,Mainz,,,,,,,1.61,3.79,6,1.67,3.75,5.5,1.7,3.7,5,1.61,3.7,5.5,1.65,3.91,6.07,1.62,3.8,5.5,1.67,3.8,5.75,40,1.7,1.65,4,3.81,6.07,5.65,39,2.09,2.02,1.85,1.8,20,-0.75,1.86,1.83,2.07,2.04
D1,17/03/18,Hamburg,Hertha,,,,,,,2.54,3,3,2.5,3.1,3.1,2.5,3.3,2.85,2.6,3,2.9,2.63,3.11,3.09,2.45,3,3.1,2.6,3.13,3,41,2.72,2.58,3.3,3.07,3.15,2.99,37,2.63,2.51,1.57,1.52,19,-0.25,2.25,2.18,1.75,1.72
D1,17/03/18,M'gladbach,Hoffenheim,,,,,,,2.75,3.39,2.54,2.7,3.4,2.6,2.65,3.3,2.65,2.65,3.5,2.5,2.74,3.57,2.63,2.5,3.6,2.62,2.75,3.6,2.5,40,2.86,2.71,3.7,3.48,2.7,2.55,37,1.73,1.67,2.3,2.19,18,0,2.05,2,1.92,1.86
D1,17/03/18,Wolfsburg,Schalke 04,,,,,,,3.5,3.25,2.2,3.6,3.3,2.15,3.5,3.4,2.1,3.6,3.1,2.15,3.75,3.34,2.18,3.5,3.25,2.15,3.6,3.3,2.2,41,3.76,3.59,3.4,3.27,2.22,2.16,38,2.3,2.21,1.71,1.66,20,0.25,2.06,2.01,1.9,1.85
D1,18/03/18,Dortmund,Hannover,,,,,,,1.44,4.75,7,1.44,4.75,7,1.45,4.4,7.2,1.4,4.6,7,1.43,5.07,7.74,1.44,4.75,6.5,1.44,5,7,41,1.48,1.43,5.25,4.82,7.9,7.14,36,1.53,1.49,2.71,2.59,20,-1.25,1.97,1.91,1.98,1.94
D1,18/03/18,FC Koln,Leverkusen,,,,,,,5,3.75,1.72,4.5,3.7,1.78,4.3,3.7,1.8,4.33,3.8,1.75,4.56,3.98,1.81,4.2,3.75,1.8,4.4,4,1.75,40,5,4.43,4.1,3.87,1.83,1.77,36,1.69,1.64,2.35,2.24,19,0.75,1.93,1.88,2.02,1.97
D1,18/03/18,RB Leipzig,Bayern Munich,,,,,,,5,4.33,1.6,5.25,4.1,1.62,4.8,3.9,1.7,5.25,4,1.6,5.71,4.29,1.62,5,4.2,1.6,5.25,4.33,1.62,41,6,5.39,4.45,4.2,1.7,1.6,37,1.62,1.56,2.49,2.4,22,1,1.9,1.86,2.05,2
D2,16/03/18,Fortuna Dusseldorf,Bielefeld,,,,,,,2.1,3.5,3.29,2.05,3.5,3.5,1.9,3.45,3.8,2.1,3.4,3.2,2.14,3.6,3.5,2.1,3.3,3.3,2.15,3.6,3.3,39,2.17,2.1,3.6,3.48,3.8,3.33,37,1.88,1.76,2.12,2.03,19,-0.25,1.88,1.84,2.05,2
D2,16/03/18,Holstein Kiel,Heidenheim,,,,,,,1.55,4.33,5.25,1.53,4.33,5.75,1.65,3.7,4.9,1.53,4,5.25,1.59,4.32,5.93,1.55,4,5.5,1.57,4.33,5.5,38,1.65,1.56,4.33,4.13,6.2,5.53,34,1.71,1.63,2.3,2.23,19,-1,2.02,1.95,1.92,1.88
D2,17/03/18,Kaiserslautern,St Pauli,,,,,,,2.37,3.2,3,2.5,3.2,2.9,2.5,3.3,2.65,2.37,3.1,2.87,2.47,3.34,3.07,2.6,3.1,2.7,2.5,3.25,2.9,40,2.6,2.44,3.36,3.18,3.09,2.9,37,2.12,2.05,1.82,1.75,18,0,1.81,1.75,2.19,2.11
D2,17/03/18,Sandhausen,Bochum,,,,,,,2.6,3,2.89,2.65,3.1,2.8,2.5,3.3,2.65,2.6,2.9,2.8,2.66,3.12,3,2.7,2.9,2.75,2.6,3.2,2.8,40,2.7,2.59,3.3,3.05,3.05,2.82,34,2.54,2.42,1.58,1.53,18,0,1.88,1.83,2.06,2
D2,17/03/18,Union Berlin,Regensburg,,,,,,,1.9,3.6,3.79,1.85,3.6,4.1,1.9,3.45,3.8,1.87,3.5,3.7,1.9,3.76,4.19,1.8,3.6,4,1.91,3.75,3.8,40,1.97,1.89,3.8,3.61,4.19,3.79,37,1.81,1.72,2.2,2.08,18,-0.5,1.95,1.89,2,1.95
D2,18/03/18,Braunschweig,Duisburg,,,,,,,2,3.5,3.6,2.05,3.3,3.75,2.1,3.3,3.3,2,3.3,3.5,2.04,3.51,3.92,2,3.4,3.5,2.05,3.5,3.6,40,2.1,2,3.7,3.42,3.92,3.58,38,1.94,1.87,1.98,1.9,18,-0.5,2.04,1.99,1.92,1.84
D2,18/03/18,Ingolstadt,Dresden,,,,,,,1.83,3.6,4.2,1.83,3.6,4.2,2,3.3,3.6,1.8,3.5,4.2,1.83,3.74,4.58,1.8,3.5,4.2,1.83,3.6,4.4,40,2,1.81,3.74,3.55,4.58,4.22,39,1.93,1.84,2,1.94,18,-0.5,1.85,1.81,2.08,2.03
D2,18/03/18,Nurnberg,Darmstadt,,,,,,,1.75,3.75,4.33,1.8,3.6,4.33,1.75,3.5,4.5,1.8,3.4,4.2,1.8,3.74,4.84,1.8,3.5,4.2,1.8,3.75,4.3,40,1.87,1.79,3.8,3.59,4.84,4.31,39,1.99,1.89,1.97,1.88,17,-0.75,2.11,2.05,1.84,1.79
D2,19/03/18,Erzgebirge Aue,Greuther Furth,,,,,,,2.45,3.39,2.75,2.5,3.25,2.85,2.4,3.3,2.75,2.5,3,2.8,2.66,3.23,2.9,2.5,3.1,2.8,2.55,3.3,2.8,39,2.67,2.52,3.39,3.14,2.98,2.81,33,2.33,2.22,1.7,1.63,17,0,1.85,1.81,2.07,2.02
E0,17/03/18,Bournemouth,West Brom,,,,,,,1.83,3.6,5,1.85,3.4,4.6,1.9,3.5,4.1,1.8,3.5,4.4,1.85,3.6,4.94,1.83,3.5,4.33,1.85,3.6,4.8,42,1.91,1.84,3.75,3.54,5,4.56,41,2.05,1.95,1.93,1.87,19,-0.75,2.14,2.09,1.83,1.78
E0,17/03/18,Huddersfield,Crystal Palace,,,,,,,3,3.1,2.7,2.8,3.1,2.7,2.7,3.2,2.7,2.87,3,2.6,2.94,3.2,2.72,2.8,3.1,2.62,2.9,3.2,2.7,42,3,2.88,3.26,3.12,2.77,2.65,39,2.42,2.32,1.67,1.61,19,0.25,1.73,1.69,2.3,2.23
E0,17/03/18,Liverpool,Watford,,,,,,,1.19,8,15,1.18,7.5,14,1.2,6.5,15,1.17,7,17,1.2,7.85,15.95,1.2,6.5,13,1.18,8,17,42,1.22,1.19,8.12,7.39,19,15.4,32,1.47,1.41,3,2.89,22,-2,1.9,1.84,2.11,2.03
E0,17/03/18,Stoke,Everton,,,,,,,2.5,3.29,3.1,2.4,3.2,3.1,2.3,3.3,3.15,2.4,3.1,3,2.49,3.29,3.18,2.4,3.2,3,2.5,3.3,3.13,41,2.55,2.45,3.36,3.23,3.2,3.07,38,2.23,2.16,1.76,1.7,22,-0.25,2.15,2.09,1.83,1.79
E1,17/03/18,Barnsley,Millwall,,,,,,,3,3.39,2.5,2.85,3.3,2.4,2.8,3.1,2.45,2.9,3.1,2.5,2.92,3.29,2.64,3,3.1,2.3,2.9,3.4,2.6,41,3,2.89,3.4,3.19,2.65,2.5,38,2.23,2.17,1.73,1.67,19,0.25,1.76,1.72,2.27,2.17
E1,17/03/18,Birmingham,Hull,,,,,,,3,3.39,2.5,2.85,3.3,2.4,2.9,3.1,2.45,3,3.1,2.45,3.08,3.28,2.54,2.9,3.2,2.5,3,3.4,2.55,42,3.08,2.95,3.4,3.19,2.6,2.48,38,2.28,2.18,1.72,1.66,18,0.25,1.8,1.75,2.19,2.12
E1,17/03/18,Bolton,Aston Villa,,,,,,,5,3.5,1.85,4.5,3.4,1.8,4.5,3.35,1.8,4.6,3.3,1.83,5.01,3.52,1.85,4.75,3.25,1.75,5,3.5,1.85,42,5.01,4.62,3.62,3.44,1.9,1.82,36,2.25,2.19,1.7,1.66,19,0.75,1.82,1.77,2.17,2.08
E1,17/03/18,Brentford,Middlesbrough,,,,,,,2.5,3.39,3,2.35,3.2,3,2.4,3.2,2.85,2.45,3.25,2.87,2.45,3.42,3.11,2.38,3.25,3,2.5,3.4,3,42,2.55,2.43,3.42,3.29,3.11,2.94,40,2.05,1.98,1.88,1.8,19,-0.25,2.14,2.09,1.81,1.77
E1,17/03/18,Bristol City,Ipswich,,,,,,,1.72,3.79,5.5,1.67,3.7,5,1.67,3.65,4.9,1.67,3.7,5.2,1.72,3.82,5.44,1.7,3.75,4.8,1.73,3.8,5.4,42,1.75,1.69,3.9,3.7,5.6,5.14,41,2.04,1.93,1.94,1.85,20,-0.75,1.96,1.89,2,1.95
E1,17/03/18,Fulham,QPR,,,,,,,1.57,4.5,6,1.55,4.2,5.25,1.55,4.3,5.1,1.57,4.25,5.5,1.58,4.65,5.66,1.57,4.2,5.5,1.57,4.5,5.75,42,1.59,1.56,4.65,4.34,6,5.47,36,1.59,1.51,2.61,2.49,23,-1,2,1.91,1.99,1.93
E1,17/03/18,Leeds,Sheffield Weds,,,,,,,2.1,3.5,3.79,2.05,3.3,3.6,1.95,3.35,3.7,2.05,3.3,3.7,2.01,3.58,4.03,1.95,3.25,3.75,2.05,3.5,3.9,42,2.1,2.02,3.58,3.39,4.03,3.73,40,2.1,2.01,1.85,1.78,20,-0.5,2.09,2.01,1.91,1.84
E1,17/03/18,Norwich,Reading,,,,,,,1.85,3.6,4.75,1.78,3.5,4.5,1.77,3.4,4.5,1.83,3.4,4.5,1.83,3.55,5.05,1.8,3.3,4.33,1.85,3.6,4.8,42,1.9,1.82,3.6,3.46,5.05,4.54,39,2.25,2.12,1.75,1.7,19,-0.5,1.84,1.81,2.09,2.04
E1,17/03/18,Sheffield United,Nott'm Forest,,,,,,,1.85,3.6,4.75,1.8,3.6,4.25,1.77,3.45,4.4,1.85,3.4,4.33,1.87,3.57,4.78,1.83,3.4,4,1.87,3.6,4.6,41,1.89,1.83,3.7,3.49,4.78,4.42,39,2.12,2.05,1.8,1.75,18,-0.75,2.15,2.08,1.85,1.78
